ticker,company_name,exchange,security_types,sector,market_cap_usd,total_revenue_usd,annual_revenue_growth_pct,net_income_usd,free_cash_flow_usd,cash_and_short_term_investments_usd,total_debt_usd,daily_dollar_volume_usd
SEB,Seaboard Corporation,AMEX,common,Process Industries,4024027998.0696535,9746000000,7.0989010989010985,496000000,-23000000,,1972000000,66213276.00000001
LIF,"Life360, Inc.",NASDAQ,common,Technology Services,4004760214.1143804,489481000,31.76368295808164,150832000,103240000,,311640000,109329505.75
SXI,Standex International Corporation,NYSE,common,Electronic Technology,4004345011.5742373,891597000,12.845095664258132,104632000,64364000.00000001,,553764000,29943373.759999998
PFSI,"PennyMac Financial Services, Inc.",NYSE,common,Finance,3999231559.786134,4235640999.9999995,8.303097434512738,501077000,-1371201000,,15496498000,42845451.42
SRAD,Sportradar Group AG,NASDAQ,common,Technology Services,3998549785.082894,1455826056.0383701,21.6278338643142,113221197.159521,498189400,,69774455.7,23122849.5
CSTM,Constellium SE,NYSE,common,Non-Energy Minerals,3998068323.6877303,8449000000.09239,15.187457397099259,273000000.002985,221702000,,1923000000.01281,27439779
LMND,"Lemonade, Inc.",NYSE,common,Finance,3996761069.6220922,615200000,41.29536058796509,-165500000,8100000,,206400000,74122919.92
WSC,WillScot Holdings Corporation,NASDAQ,common,Finance,3995260307.339449,2281446000,-4.769843529163282,-52990000,297751000,,3794303000,133393371.3
CRGY,Crescent Energy Company,NYSE,common,Energy Minerals,3984668484.1159415,3579782000,22.13855108244206,132906000,833738000,,5171682000,68273143.38000001
HHH,Howard Hughes Holdings Inc.,NYSE,common,Finance,3984587382.4878416,1474892000,-15.753626143763968,123897000,743815000,,5463942000,23964422.88
MCHB,Mechanics Bancorp,NASDAQ,common,Finance,3972514867.489516,886164000,49.180082252707386,265738999.99999997,268623000,,288594000,10116965.174999999
PTRN,Pattern Group Inc. - Series A,NASDAQ,common,Commercial Services,3972412405.105546,2501315000,39.25895284442764,-156607000,106131000,,51310000,28379175.78
VKTX,"Viking Therapeutics, Inc.",NASDAQ,common,Health Technology,3968532889.9668646,0,,-359639000,-418441000,,4086000.0000000005,50089619.160000004
DORM,"Dorman Products, Inc.",NASDAQ,common,Consumer Durables,3965552819.3794055,2130319000,6.028378501461031,204194000,,,528253000.00000006,26587692.95
RNST,Renasant Corporation,NYSE,common,Finance,3962383904.6610765,1443503000,39.348658596978645,181272000,394022000,,1111694000,18562253.25
QS,QuantumScape Corporation,NASDAQ,common,Producer Manufacturing,3949944354.40694,0,,-435050000,-272875000,,67118000,128306355.32
KAI,Kadant Inc,NYSE,common,Producer Manufacturing,3944970875.8875656,1052248000,-0.10784291388515488,101969000,,,510632000,27480084.48
MANU,Manchester,NYSE,common,Consumer Services,3943447966.4116054,862267151.530404,3.501981878097834,-42721755.4994922,108435970,,996860715.4,12025640.620000001
WBI,WaterBridge Infrastructure LLC,NYSE,common,Industrial Services,3925907333.2755423,525553000,66.15859827503351,-4537000,-122073000,,1623198000,15329476.200000001
PSUS,"Pershing Square USA, Ltd.",NYSE,common,Miscellaneous,3910000106.917966,98800,441.874622936434,-1645258,,,0,10011906.9
BMI,"Badger Meter, Inc.",NYSE,common,Producer Manufacturing,3906557148.7253838,916663000,10.901231371543195,141634000,150301000,,0,51940492.77
QTWO,"Q2 Holdings, Inc.",NYSE,common,Technology Services,3900286170.0781245,794809000,14.120614992303981,52008000,213248000,,40933000,55373388.3
PII,Polaris Inc.,NYSE,common,Consumer Durables,3899029157.357112,7152000000,-0.32611422359729075,-465500000,128400000,,2059600000,32888640.72
PARR,"Par Pacific Holdings, Inc. Common Stock",NYSE,common,Energy Minerals,3896749163.582881,7464650000,-6.392999548433203,369391000,438306000,,1304278000,104820605.9
SUNC,SunocoCorp LLC,NYSE,common,Distribution Services,3894185247.473882,25201000000,11.05186621425109,-5000000,,,14841000000,26378188.76
REZI,"Resideo Technologies, Inc.",NYSE,common,Distribution Services,3893169353.122525,7472000000,10.516195829019376,-527000000,-1338000000,,3516000000,91804111.05
OTTR,Otter Tail Corporation,NASDAQ,common,Utilities,3868550980.1847687,1304058000,-1.990909008919633,275893000,-79267000,,1266713000,16417781.62
JOE,St. Joe Company (The),NYSE,common,Finance,3865577671.1447363,513246000,27.439495253726378,115627000,212286000,,372485000,15223926.9
CALM,"Cal-Maine Foods, Inc.",NASDAQ,common,Process Industries,3857053026.512112,2911632000,-31.682060872125835,316682000,331786000,,0,54242075.79
YETI,"YETI Holdings, Inc.",NYSE,common,Producer Manufacturing,3851553245.252215,1868494000,2.1105836306672647,165387000,257499000.00000003,,224631000,129609309.88000001
GPGI,"GPGI, Inc.",NYSE,common,Producer Manufacturing,3849740631.0910373,59824000,-85.77552898321568,-136005000,42057000,,0,22059421.279999997
BANF,BancFirst Corporation,NASDAQ,common,Finance,3840672767.5622663,939513000,4.9490119067167555,240610000,241820000,,92242000,10044991.25
CSQR,"Csquare, Inc.",NYSE,common,Technology Services,3829249136.036673,986980000,8.752015038273331,-119904000,,,5760858000,14100298.200000001
KNF,Knife Riv Holding Co.,NYSE,common,Non-Energy Minerals,3826989869.393103,3146012000,8.520406139347811,157074000,43061000,,1668645000,36902404.42
